City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
335,Rio Grande,-32.035,-52.0986,58.95,92,37,13.35,scattered clouds
336,Litovko,49.2361,135.1742,63.07,90,100,3.53,overcast clouds
337,Whyalla,-33.0333,137.5833,54.75,53,46,6.67,scattered clouds
338,Broome,42.2506,-75.833,82.78,63,0,7.0,clear sky
339,Oranjestad,12.524,-70.027,82.35,78,20,20.71,few clouds
340,Bar,49.0772,27.6826,51.75,90,0,8.05,clear sky
341,Sampit,-2.5333,112.95,85.19,69,6,3.27,clear sky
342,Naryshkino,52.9678,35.7268,52.14,93,90,9.95,overcast clouds
343,Ahipara,-35.1667,173.1667,57.15,69,19,20.29,few clouds
344,Sencha,50.2548,33.346,51.76,91,2,8.88,clear sky
345,Port Lincoln,-34.7333,135.8667,55.76,65,1,16.13,clear sky
346,Noumea,-22.2763,166.4572,80.58,99,100,13.56,overcast clouds
347,Sungairaya,0.7,108.9,85.51,68,99,2.82,overcast clouds
348,Omsukchan,62.5333,155.8,52.03,43,100,8.95,overcast clouds
349,Upington,-28.4478,21.2561,43.18,87,0,2.3,clear sky
350,Ippy,6.2679,21.2247,67.14,98,65,2.06,broken clouds
351,Xuanhua,40.6103,115.0447,82.83,42,0,2.06,clear sky
352,Petropavlovsk-Kamchatskiy,53.0452,158.6483,68.59,52,75,11.18,broken clouds
353,Chapleau,47.8405,-83.4034,68.09,88,75,3.44,broken clouds
354,Alta Floresta,-9.8756,-56.0861,71.94,46,0,2.06,clear sky
355,Alofi,-19.0595,-169.9187,76.89,78,75,14.97,broken clouds
356,Leningradskiy,69.3833,178.4167,33.17,97,100,20.71,light snow
357,San Rafael,-34.6177,-68.3301,55.29,20,0,2.26,clear sky
358,Gravelbourg,49.8834,-106.5512,75.47,49,0,5.37,clear sky
359,Provideniya,64.3833,-173.3,46.51,71,75,13.42,broken clouds
360,Talaya,61.3833,152.75,64.47,57,98,11.16,overcast clouds
361,Te Anau,-45.4167,167.7167,42.73,85,95,2.89,overcast clouds
362,Hofn,64.2539,-15.2082,52.12,73,21,4.63,few clouds
363,Kobe,34.6913,135.183,88.9,78,75,4.61,broken clouds
364,Baiyin,36.5583,104.2081,67.8,42,100,28.34,overcast clouds
365,Gwadar,25.1216,62.3254,82.26,83,100,11.9,overcast clouds
366,Port Hedland,-20.3167,118.5667,75.25,35,6,5.75,clear sky
367,Nhamunda,-2.1861,-56.7131,73.6,96,77,2.77,broken clouds
368,Natchez,31.5604,-91.4032,89.82,58,0,6.91,clear sky
369,Kolondieba,11.0882,-6.8926,71.19,97,100,5.1,light rain
370,Teya,60.3778,92.6267,64.62,63,48,4.99,scattered clouds
371,Apatou,5.155,-54.3472,72.34,99,48,2.39,scattered clouds
372,Nabire,-3.3667,135.4833,84.49,66,99,4.65,overcast clouds
373,Denpasar,-8.65,115.2167,78.46,83,75,12.66,broken clouds
374,Nikel,69.4128,30.222,53.78,87,98,2.33,overcast clouds
